generation,solution,fitness
0,0,"{'distance': 368.7403385357064, 'walk_straight': -1577.0933553260195, 'speed': 266.9545543891407, 'joints_at_limits': -5450, 'alive_bonus': 326, 'height_diff': 1.0947535700640627}"
0,1,"{'distance': -76.87857919979113, 'walk_straight': -6.5527840712664265, 'speed': 241.55947186439894, 'joints_at_limits': -2630, 'alive_bonus': 166, 'height_diff': 0.6458437148301517}"
0,2,"{'distance': 170.65650149713278, 'walk_straight': -76.18639895723335, 'speed': 256.27537740075064, 'joints_at_limits': -2140, 'alive_bonus': 150, 'height_diff': 0.9651383114042209}"
0,3,"{'distance': -408.00337334099527, 'walk_straight': -1.5631844442323237, 'speed': 258.4073662267929, 'joints_at_limits': -2350, 'alive_bonus': 140, 'height_diff': 0.6995845440035543}"
0,4,"{'distance': -498.722250964006, 'walk_straight': -3.4387327925623494, 'speed': 257.47621187826684, 'joints_at_limits': -4550, 'alive_bonus': 174, 'height_diff': 0.6029582158040792}"
0,5,"{'distance': -27.095165196231566, 'walk_straight': -31.895313089471745, 'speed': 241.0749261672163, 'joints_at_limits': -2120, 'alive_bonus': 134, 'height_diff': 0.9906867583812663}"
0,6,"{'distance': 975.9866370850742, 'walk_straight': -0.13460867783366615, 'speed': 299.6083973928929, 'joints_at_limits': -6380, 'alive_bonus': 504, 'height_diff': 0.2265808643962997}"
0,7,"{'distance': -406.67367262564926, 'walk_straight': -10.255009446181836, 'speed': 227.59445788189672, 'joints_at_limits': -2550, 'alive_bonus': 150, 'height_diff': 0.676787171917293}"
0,8,"{'distance': -583.0932765043785, 'walk_straight': -3.3265063127253405, 'speed': 263.69275300901114, 'joints_at_limits': -6870, 'alive_bonus': 254, 'height_diff': 0.6772065144374309}"
0,9,"{'distance': 656.3914478844368, 'walk_straight': -2.795226430063238, 'speed': 289.77295268123873, 'joints_at_limits': -5680, 'alive_bonus': 254, 'height_diff': 0.924547258545722}"
0,,"{'distance': -1311.0722151182426, 'walk_straight': -196.811658683768, 'speed': 274.47449145875305, 'joints_at_limits': -12380, 'alive_bonus': 504, 'height_diff': 0.6825581453675521}"
0,,"{'distance': -377.84496997043794, 'walk_straight': -0.21072134880878424, 'speed': 249.7843477288738, 'joints_at_limits': -2550, 'alive_bonus': 134, 'height_diff': 0.6169205216584199}"
0,,"{'distance': 69.64099665647308, 'walk_straight': -0.6665235960617862, 'speed': 252.3143298782447, 'joints_at_limits': -4090, 'alive_bonus': 206, 'height_diff': 0.8368274630586988}"
0,,"{'distance': 894.9970304596472, 'walk_straight': -361.8252831545124, 'speed': 236.61013266416774, 'joints_at_limits': -15970, 'alive_bonus': 504, 'height_diff': 1.2542136525711391}"
0,,"{'distance': 99.4592422908297, 'walk_straight': -0.7495039652976964, 'speed': 259.72922158257876, 'joints_at_limits': -2740, 'alive_bonus': 174, 'height_diff': 0.8164137410990002}"
0,,"{'distance': -399.3786369320337, 'walk_straight': -0.9899040359984453, 'speed': 249.61932242347675, 'joints_at_limits': -3300, 'alive_bonus': 142, 'height_diff': 0.5983161470359938}"
1,4,"{'distance': 902.427263316303, 'walk_straight': -2633.3275187, 'speed': 254.6777146275938, 'joints_at_limits': -12720, 'alive_bonus': 504, 'height_diff': 0.9077141280531726}"
1,5,"{'distance': -658.4273369462717, 'walk_straight': -0.6104245308244183, 'speed': 245.5701824371951, 'joints_at_limits': -1180, 'alive_bonus': 230, 'height_diff': 0.7506251108773816}"
1,6,"{'distance': 105.57310468608024, 'walk_straight': -1.4665329775046045, 'speed': 256.61233305263704, 'joints_at_limits': -2840, 'alive_bonus': 180, 'height_diff': 0.6385163679283935}"
1,7,"{'distance': -1343.8692653378948, 'walk_straight': -35.001240255415325, 'speed': 261.7367949859867, 'joints_at_limits': -12050, 'alive_bonus': 504, 'height_diff': 0.4664868327839959}"
1,8,"{'distance': 124.93421555599166, 'walk_straight': -1.2175834755889197, 'speed': 258.86474886133067, 'joints_at_limits': -2410, 'alive_bonus': 150, 'height_diff': 0.7327947729229722}"
1,9,"{'distance': -398.0207948815032, 'walk_straight': -5.643284213947024, 'speed': 243.81814624528212, 'joints_at_limits': -3040, 'alive_bonus': 142, 'height_diff': 0.7206509875003942}"
1,,"{'distance': 154.00194569469954, 'walk_straight': -4.268097035933869, 'speed': 270.73784848109545, 'joints_at_limits': -3490, 'alive_bonus': 198, 'height_diff': 0.7988469522237086}"
1,,"{'distance': 31.413426132311372, 'walk_straight': -15.503915923576242, 'speed': 241.2275223989573, 'joints_at_limits': -1850, 'alive_bonus': 126, 'height_diff': 0.9359011468182598}"
1,,"{'distance': -658.4273369462717, 'walk_straight': -0.6104245308244183, 'speed': 245.5701824371951, 'joints_at_limits': -1180, 'alive_bonus': 230, 'height_diff': 0.7506251108773816}"
1,,"{'distance': -377.32380037593134, 'walk_straight': -0.15974695025677335, 'speed': 239.19575067026452, 'joints_at_limits': -1920, 'alive_bonus': 134, 'height_diff': 0.6991441353295388}"
1,,"{'distance': -444.06519580531756, 'walk_straight': -1.170162155068167, 'speed': 254.10519487100788, 'joints_at_limits': -4030, 'alive_bonus': 158, 'height_diff': 0.7125884432967142}"
1,,"{'distance': 365.7274670797248, 'walk_straight': -4.065840241926446, 'speed': 270.98182126824486, 'joints_at_limits': -3200, 'alive_bonus': 182, 'height_diff': 1.0694426585192105}"
2,4,"{'distance': 937.5068219456534, 'walk_straight': -113.91765985799026, 'speed': 259.38676994814597, 'joints_at_limits': -19180, 'alive_bonus': 504, 'height_diff': 1.0536959156580061}"
2,5,"{'distance': 1024.286140399166, 'walk_straight': -124.16711846465999, 'speed': 250.59732340762235, 'joints_at_limits': -18040, 'alive_bonus': 504, 'height_diff': 0.993507788810889}"
2,6,"{'distance': -491.84833586759714, 'walk_straight': -1.3771689440519086, 'speed': 242.64908118428178, 'joints_at_limits': -2380, 'alive_bonus': 174, 'height_diff': 0.6527839610216994}"
2,7,"{'distance': -357.82682935290035, 'walk_straight': -0.5168351121842947, 'speed': 245.74515024729172, 'joints_at_limits': -2030, 'alive_bonus': 126, 'height_diff': 0.7127397752589948}"
2,8,"{'distance': -450.40753183830634, 'walk_straight': -7.083404559131055, 'speed': 259.29401977940074, 'joints_at_limits': -2810, 'alive_bonus': 158, 'height_diff': 0.5711595876621909}"
2,9,"{'distance': 158.19879069474902, 'walk_straight': -5.474582327664998, 'speed': 276.4210878327053, 'joints_at_limits': -3410, 'alive_bonus': 198, 'height_diff': 0.995727052478464}"
2,4,"{'distance': 937.5068219456534, 'walk_straight': -113.91765985799026, 'speed': 259.38676994814597, 'joints_at_limits': -19180, 'alive_bonus': 504, 'height_diff': 1.0536959156580061}"
2,5,"{'distance': 1024.286140399166, 'walk_straight': -124.16711846465999, 'speed': 250.59732340762235, 'joints_at_limits': -18040, 'alive_bonus': 504, 'height_diff': 0.993507788810889}"
2,6,"{'distance': -491.84833586759714, 'walk_straight': -1.3771689440519086, 'speed': 242.64908118428178, 'joints_at_limits': -2380, 'alive_bonus': 174, 'height_diff': 0.6527839610216994}"
2,7,"{'distance': -357.82682935290035, 'walk_straight': -0.5168351121842947, 'speed': 245.74515024729172, 'joints_at_limits': -2030, 'alive_bonus': 126, 'height_diff': 0.7127397752589948}"
2,8,"{'distance': -450.40753183830634, 'walk_straight': -7.083404559131055, 'speed': 259.29401977940074, 'joints_at_limits': -2810, 'alive_bonus': 158, 'height_diff': 0.5711595876621909}"
2,9,"{'distance': 158.19879069474902, 'walk_straight': -5.474582327664998, 'speed': 276.4210878327053, 'joints_at_limits': -3410, 'alive_bonus': 198, 'height_diff': 0.995727052478464}"
