generation,specimen_id,total_fitness,distance,walk_straight,speed,joints_at_limits,alive_bonus,height_diff
0,0,-151.30766138788871,-444.8059295545992,-1.9378787657925862,-254.11201332635233,446,158,-54.45183974114466
0,1,-142.11000889224636,-461.3337569849684,-8.194200423875909,-248.92461083041047,465,166,-54.65744065299155
0,2,191.14981197816982,-753.054794000776,-10.734660768819758,-264.70848284791947,1004,270,-54.35225040431502
0,3,2534.5047087485846,1137.7144899213197,-2.06429825495463,305.8505276665955,602,504,-12.99601058437605
0,4,1313.5301488722696,491.64658733378644,-0.5486596624698608,270.8625363847152,392,222,-62.43031518376226
0,5,1124.1128370358206,361.86984773150846,-1.3695268052217286,308.73541549789434,289,230,-64.12289938836048
0,6,56.966122933749794,171.8197339564182,-45.306128176625165,-333.01407761030913,181,142,-59.53340523573409
0,7,345.922098360253,121.15491236645502,-0.19002648329157892,-324.9124071544968,384,230,-64.13038036841364
0,8,332.22230209854666,40.78435781562977,-13.50902215908063,-266.16997457864915,370,262,-60.883058979353336
0,9,-290.0183308336957,-444.26650474423207,-19.29727329858494,-256.44280291953396,329,156,-55.01174987134473
0,,334.60634009640984,-353.7347456348768,-0.5933252858913618,418.60928927883816,199,126,-54.67487826166017
0,,1580.1676411616488,497.951305342779,-5.589203065593852,300.9599598860626,581,270,-64.1544210015988
0,,2146.6340163577393,1002.676829908944,-11.674862860914033,285.66373688261325,605,326,-61.03168757290385
0,,459.60475722607356,364.4887033092324,-2.7923451581016643,-333.3816275153816,279,214,-61.70997340967556
0,,225.58466588715618,90.63621287111428,-2.359917647744631,-335.5237774814225,374,158,-59.167851854790975
0,,1342.8706516596149,344.1154409258874,-1.8326449787405004,298.1680628307664,512,252,-61.58020711829852
1,4,318.4594018288931,-362.4814268366159,-1.1416338238792672,406.4468706351825,196,134,-54.36440814579426
1,5,2718.600988984539,1004.8809832327813,-83.34741811501742,324.01033084474074,1038,498,-62.94290697796524
1,6,1278.0466669123673,462.283800671741,-17.441938825786433,310.0775854905465,393,190,-59.872780424133644
1,7,179.3213004593192,-1433.6684727934728,-0.41401404502838834,355.185422376102,767,504,-12.781635078281663
1,8,1309.1991100161913,421.94752400557906,-0.4307545545543486,317.53445976082673,437,198,-64.85211919566012
1,9,1356.109427075192,361.4783327768161,-2.8501024653676303,285.6133084930514,527,246,-61.13211172930799
1,,948.4641711885931,-393.4417618376002,-4.531213615453616,299.53840072262204,682,422,-57.10125408097514
1,,432.22563401446985,-1007.390831609973,-0.33081727790979726,311.97744009405227,641,504,-17.030157191699672
1,,1655.6691213703632,523.7679102068952,-10.522232273403617,308.1430634986207,626,270,-61.7196200617491
1,,2718.600988984539,1004.8809832327813,-83.34741811501742,324.01033084474074,1038,498,-62.94290697796524
1,,376.687176127689,-1309.5764359761718,-0.04726605018327316,310.3314585475136,885,504,-13.020580393469693
1,,2676.998128401146,1233.289412827057,-0.6783257888158428,304.38664042633167,649,504,-12.999599063427011
2,4,1300.907137661997,378.7067053708669,-3.960486373176257,283.6663334081125,476,230,-63.50541474380612
2,5,1792.3816763057991,540.3953762286086,-2.157516969888716,321.72828797917924,624,366,-57.584470932100004
2,6,1646.1054958361447,-159.08966620649352,-15.194597617894702,340.63627733641005,1008,504,-32.2465176758771
2,7,1079.2058011254214,319.754881160311,-4.042014607190088,281.80304997913606,362,182,-62.31011540683571
2,8,2541.0865553743997,956.8019327996951,-56.962781484687724,358.03875782950996,879,462,-57.7913537701179
2,9,1506.1579714272348,-9.081945743456304,-0.5643204447340016,305.7369517973338,719,504,-12.93271418190885
2,4,1300.907137661997,378.7067053708669,-3.960486373176257,283.6663334081125,476,230,-63.50541474380612
2,5,1792.3816763057991,540.3953762286086,-2.157516969888716,321.72828797917924,624,366,-57.584470932100004
2,6,1646.1054958361447,-159.08966620649352,-15.194597617894702,340.63627733641005,1008,504,-32.2465176758771
2,7,1079.2058011254214,319.754881160311,-4.042014607190088,281.80304997913606,362,182,-62.31011540683571
2,8,2541.0865553743997,956.8019327996951,-56.962781484687724,358.03875782950996,879,462,-57.7913537701179
2,9,1506.1579714272348,-9.081945743456304,-0.5643204447340016,305.7369517973338,719,504,-12.93271418190885
