generation,specimen_id,total_fitness,alive_bonus,speed,height_diff,forces,distance
0,0,-1425.9314045109675,56.5,29.993652236343916,-3.424291226656489,-1496.0007655206548,-13.0
0,1,-880.2128675045315,67.0,27.28039229093515,-7.259924282670833,-933.2333355127957,-34.0
0,2,-1154.7424111669252,113.0,-55.445136267291176,-10.97816327215758,-1032.3191116274766,-169.0
0,3,-288.32020858204334,86.0,33.69807580432339,-6.771860261787447,-354.2464241245793,-47.0
0,4,-727.1250064610227,116.0,-50.80356432937144,-13.306491236506854,-612.0149508951445,-167.0
0,,-288.32020858204334,86.0,33.69807580432339,-6.771860261787447,-354.2464241245793,-47.0
0,,-288.32020858204334,86.0,33.69807580432339,-6.771860261787447,-354.2464241245793,-47.0
0,,-288.32020858204334,86.0,33.69807580432339,-6.771860261787447,-354.2464241245793,-47.0
0,,-288.32020858204334,86.0,33.69807580432339,-6.771860261787447,-354.2464241245793,-47.0
1,1,-115.10870694393284,89.0,34.06477403383967,-6.9200500377245815,-179.25343094004793,-52.0
1,2,-1311.6407003355348,66.5,-62.936146598163965,-7.204768230679309,-1172.9997855066915,-135.0
1,3,-2184.597638454768,82.0,-64.16945444479161,-6.658546220931271,-2029.7696377890452,-166.0
1,4,-848.8597339305195,70.5,-52.52493607215846,-6.725695350469875,-717.1091025078912,-143.0
1,,-115.10870694393284,89.0,34.06477403383967,-6.9200500377245815,-179.25343094004793,-52.0
1,,-115.10870694393284,89.0,34.06477403383967,-6.9200500377245815,-179.25343094004793,-52.0
1,,-115.10870694393284,89.0,34.06477403383967,-6.9200500377245815,-179.25343094004793,-52.0
1,,-115.10870694393284,89.0,34.06477403383967,-6.9200500377245815,-179.25343094004793,-52.0
2,1,-1693.771596581051,67.0,23.313233534143468,-5.17459173440138,-1726.910238380793,-52.0
2,2,-418.46944638772294,80.0,11.460118839602158,-5.755176262028594,-436.1743889652965,-68.0
2,3,-641.0427429969627,70.5,38.835800067576145,-5.277081179421607,-676.1014618851173,-69.0
2,4,-273.35371622612035,98.0,70.4502572369428,-7.794898409673643,-379.0090750533895,-55.0
2,,-115.10870694393284,89.0,34.06477403383967,-6.9200500377245815,-179.25343094004793,-52.0
2,,-115.10870694393284,89.0,34.06477403383967,-6.9200500377245815,-179.25343094004793,-52.0
2,,-115.10870694393284,89.0,34.06477403383967,-6.9200500377245815,-179.25343094004793,-52.0
2,,-115.10870694393284,89.0,34.06477403383967,-6.9200500377245815,-179.25343094004793,-52.0
3,1,-266.2954031142018,176.0,-44.82752584351901,-30.346357924186396,-94.12151934649637,-273.0
3,2,-1496.357898726699,250.5,16.092124897538454,-18.97673054580803,-1553.9732930784294,-190.0
3,3,-764.3914007900003,73.0,-32.490464412893736,-6.925045482526067,-649.9758908945805,-148.0
3,4,-2456.530259804062,96.5,33.192930948427055,-8.22326655866011,-2514.999924193829,-63.0
3,,-115.10870694393284,89.0,34.06477403383967,-6.9200500377245815,-179.25343094004793,-52.0
3,,-115.10870694393284,89.0,34.06477403383967,-6.9200500377245815,-179.25343094004793,-52.0
3,,-115.10870694393284,89.0,34.06477403383967,-6.9200500377245815,-179.25343094004793,-52.0
3,,-115.10870694393284,89.0,34.06477403383967,-6.9200500377245815,-179.25343094004793,-52.0
4,1,-780.9585769837022,167.0,10.351319122198845,-15.724250460568413,-870.5856456453326,-72.0
4,2,-1249.1574009546578,85.0,-55.43054898277019,-8.605764703251694,-1099.1210872686358,-171.0
4,3,-24.76897617097798,92.5,24.583559362106172,-7.96767128917776,-69.88486424390639,-64.0
4,4,-3054.3278269402267,88.5,7.942255226015212,-6.001396996217751,-3044.768685170024,-100.0
4,,-24.76897617097798,92.5,24.583559362106172,-7.96767128917776,-69.88486424390639,-64.0
4,,-24.76897617097798,92.5,24.583559362106172,-7.96767128917776,-69.88486424390639,-64.0
4,,-24.76897617097798,92.5,24.583559362106172,-7.96767128917776,-69.88486424390639,-64.0
4,,-24.76897617097798,92.5,24.583559362106172,-7.96767128917776,-69.88486424390639,-64.0
5,1,-1797.2750709894701,48.5,16.010927394166455,-3.2872608150350886,-1814.4987375686014,-44.0
5,2,-1724.0367200619014,93.0,-55.49193268462298,-12.095161647769089,-1562.4496257295093,-187.0
5,3,-822.9430925245101,125.5,116.05692035176486,-9.914155096740284,-1032.5858577795348,-22.0
5,4,-3471.666981141251,99.5,30.40570922626767,-9.183327218928666,-3511.3893631485903,-81.0
5,1,-1797.2750709894701,48.5,16.010927394166455,-3.2872608150350886,-1814.4987375686014,-44.0
5,2,-1724.0367200619014,93.0,-55.49193268462298,-12.095161647769089,-1562.4496257295093,-187.0
5,3,-822.9430925245101,125.5,116.05692035176486,-9.914155096740284,-1032.5858577795348,-22.0
5,4,-3471.666981141251,99.5,30.40570922626767,-9.183327218928666,-3511.3893631485903,-81.0
